model,seed,tp,fp,threshold,accuracy,precision,recall,f1,auc
vae_mlp,4,45,37,0.395,0.9463679565512559,0.5487804878048781,0.5172413793103449,0.5325443786982249,0.802205138412035
sae,0,44,34,0.385,0.9477257298031229,0.5641025641025641,0.5057471264367817,0.5333333333333333,0.8111451128692508
sae,1,40,33,0.378,0.9456890699253224,0.547945205479452,0.45977011494252873,0.5,0.8155570483156691
sae,2,43,34,0.371,0.9470468431771895,0.5584415584415584,0.4942528735632184,0.524390243902439,0.8043530543530545
sae,3,43,31,0.364,0.9490835030549898,0.581081081081081,0.4942528735632184,0.5341614906832298,0.8108216815113367
sae,4,41,35,0.42,0.945010183299389,0.5394736842105263,0.47126436781609193,0.5030674846625767,0.8183601200842582
rae_mlp,0,41,32,0.362,0.9470468431771895,0.5616438356164384,0.47126436781609193,0.5125,0.8151506858403411
rae_mlp,1,42,35,0.355,0.9456890699253224,0.5454545454545454,0.4827586206896552,0.5121951219512195,0.8091713522748006
rae_mlp,2,42,34,0.348,0.9463679565512559,0.5526315789473685,0.4827586206896552,0.5153374233128835,0.7990288766150835
rae_mlp,3,45,35,0.404,0.9477257298031229,0.5625,0.5172413793103449,0.5389221556886228,0.8022134315237763
rae_mlp,4,44,35,0.397,0.9470468431771895,0.5569620253164557,0.5057471264367817,0.5301204819277109,0.8075541954852301
tabnet,0,45,38,0.347,0.9456890699253224,0.5421686746987951,0.5172413793103449,0.5294117647058824,0.8212958816407092
tabnet,1,45,36,0.3399999999999999,0.9470468431771895,0.5555555555555556,0.5172413793103449,0.5357142857142857,0.8437619213481282
tabnet,2,43,35,0.3329999999999999,0.9463679565512559,0.5512820512820513,0.4942528735632184,0.5212121212121212,0.8268025078369906
tabnet,3,47,36,0.3259999999999999,0.9484046164290564,0.5662650602409639,0.5402298850574713,0.5529411764705883,0.8097850425436632
tabnet,4,45,33,0.382,0.9490835030549898,0.5769230769230769,0.5172413793103449,0.5454545454545454,0.827731336352026
asae,0,50,32,0.436,0.9531568228105907,0.6097560975609756,0.5747126436781609,0.591715976331361,0.8560274336136404
asae,1,50,33,0.429,0.9524779361846571,0.6024096385542169,0.5747126436781609,0.5882352941176471,0.8569230896817104
asae,2,51,28,0.412,0.956551255940258,0.6455696202531646,0.5862068965517241,0.6144578313253012,0.8640717520027865
asae,3,51,29,0.415,0.9558723693143245,0.6375,0.5862068965517241,0.6107784431137725,0.856102071619313
asae,4,50,30,0.408,0.9545145960624576,0.625,0.5747126436781609,0.5988023952095808,0.8586978155943673
